nmtkp,tgldtgsjp,jumlahsep,tanggal,harilibur
RJTL,3/6/2023,588720,,0.0
RJTL,3/7/2023,549051,,0.0
RJTL,3/8/2023,535076,,0.0
RJTL,3/9/2023,528810,,0.0
RJTL,3/10/2023,469232,,0.0
RJTL,3/11/2023,281808,,0.0
RJTL,3/12/2023,42392,,0.0
RJTL,3/13/2023,594740,,0.0
RJTL,3/14/2023,550641,,0.0
RJTL,3/15/2023,543224,,0.0
RJTL,3/16/2023,550217,,0.0
RJTL,3/17/2023,486287,,0.0
RJTL,3/18/2023,282925,,0.0
RJTL,3/19/2023,45059,,0.0
RJTL,3/20/2023,632226,,0.0
RJTL,3/21/2023,603642,,0.0
RJTL,3/22/2023,69412,3/22/2023,1.0
RJTL,3/23/2023,270342,3/23/2023,1.0
RJTL,3/24/2023,562696,,0.0
RJTL,3/25/2023,321486,,0.0
RJTL,3/26/2023,42693,,0.0
RJTL,3/27/2023,626239,,0.0
RJTL,3/28/2023,567337,,0.0
RJTL,3/29/2023,503342,,0.0
RJTL,3/30/2023,494006,,0.0
RJTL,3/31/2023,449323,,0.0
RJTL,4/1/2023,284898,,0.0
RJTL,4/2/2023,38909,,0.0
RJTL,4/3/2023,570330,,0.0
RJTL,4/4/2023,546113,,0.0
RJTL,4/5/2023,485086,,0.0
RJTL,4/6/2023,540187,,0.0
RJTL,4/7/2023,64955,4/7/2023,1.0
RJTL,4/8/2023,307125,,0.0
RJTL,4/9/2023,38197,,0.0
RJTL,4/10/2023,630024,,0.0
RJTL,4/11/2023,568486,,0.0
RJTL,4/12/2023,511853,,0.0
RJTL,4/13/2023,524535,,0.0
RJTL,4/14/2023,466667,,0.0
RJTL,4/15/2023,307432,,0.0
RJTL,4/16/2023,41372,,0.0
RJTL,4/17/2023,629055,,0.0
RJTL,4/18/2023,583843,,0.0
RJTL,4/19/2023,310980,4/19/2023,1.0
RJTL,4/20/2023,237553,4/20/2023,1.0
RJTL,4/21/2023,100746,4/21/2023,1.0
RJTL,4/22/2023,36097,4/22/2023,1.0
RJTL,4/23/2023,37822,4/23/2023,1.0
RJTL,4/24/2023,134048,4/24/2023,1.0
RJTL,4/25/2023,180988,4/25/2023,1.0
RJTL,4/26/2023,420753,,0.0
RJTL,4/27/2023,554431,,0.0
RJTL,4/28/2023,513330,,0.0
RJTL,4/29/2023,304000,,0.0
RJTL,4/30/2023,41872,,0.0
RJTL,5/1/2023,69636,5/1/2023,1.0
RJTL,5/2/2023,639585,,0.0
RJTL,5/3/2023,639513,,0.0
RJTL,5/4/2023,599546,,0.0
RJTL,5/5/2023,519907,,0.0
RJTL,5/6/2023,286581,,0.0
RJTL,5/7/2023,40076,,0.0
RJTL,5/8/2023,569058,,0.0
RJTL,5/9/2023,553269,,0.0
RJTL,5/10/2023,582207,,0.0
RJTL,5/11/2023,577383,,0.0
RJTL,5/12/2023,518748,,0.0
RJTL,5/13/2023,316260,,0.0
RJTL,5/14/2023,47181,,0.0
RJTL,5/15/2023,625435,,0.0
RJTL,5/16/2023,614282,,0.0
RJTL,5/17/2023,633772,,0.0
RJTL,5/18/2023,85508,5/18/2023,1.0
RJTL,5/19/2023,562976,,0.0
RJTL,5/20/2023,319242,,0.0
RJTL,5/21/2023,45710,,0.0
RJTL,5/22/2023,609342,,0.0
RJTL,5/23/2023,574239,,0.0
RJTL,5/24/2023,505303,,0.0
RJTL,5/25/2023,492522,,0.0
RJTL,5/26/2023,478922,,0.0
RJTL,5/27/2023,309063,,0.0
RJTL,5/28/2023,41750,,0.0
RJTL,5/29/2023,643599,,0.0
RJTL,5/30/2023,613748,,0.0
